source,target,weight
amh(ng/ml) (0-22),avg._f_size_(r)_(mm) (17-24),151
amh(ng/ml) (0-22),bp__diastolic_(mmhg)_80,250
amh(ng/ml) (0-22),bp__systolic_(mmhg)_110,176
amh(ng/ml) (0-22),cycle(r/i) (2-4),308
amh(ng/ml) (0-22),cycle_length(days)_5,213
amh(ng/ml) (0-22),endometrium_(mm) (7-12),291
amh(ng/ml) (0-22),follicle_no._(l) (0-7),313
amh(ng/ml) (0-22),fsh(miu/ml) (0-1684),362
amh(ng/ml) (0-22),fsh/lh (0-458),362
amh(ng/ml) (0-22),height(cm) (152-166),274
amh(ng/ml) (0-22),i___beta-hcg(miu/ml) (1-10821),356
amh(ng/ml) (0-22),ii____beta-hcg(miu/ml) (1-8334),361
amh(ng/ml) (0-22),lh(miu/ml) (0-673),363
amh(ng/ml) (0-22),marraige_status_(yrs) (0-10),265
amh(ng/ml) (0-22),no._of_aborptions_0,290
amh(ng/ml) (0-22),prg(ng/ml) (0-28),362
amh(ng/ml) (0-22),rbs(mg/dl) (60-157),361
amh(ng/ml) (0-22),tsh_(miu/l) (0-22),361
amh(ng/ml) (0-22),vit_d3_(ng/ml) (0-2005),363
amh(ng/ml) (0-22),weight_(kg) (31-57),172
amh(ng/ml) (0-22),age_(yrs) (30-39),198
amh(ng/ml) (0-22),avg._f_size_(l)_(mm) (9-16),214
amh(ng/ml) (0-22),avg._f_size_(r)_(mm) (9-16),201
amh(ng/ml) (0-22),bmi (22-30),258
amh(ng/ml) (0-22),bp__systolic_(mmhg)_120,169
amh(ng/ml) (0-22),hb(g/dl) (12-13),232
amh(ng/ml) (0-22),prl(ng/ml) (0-43),335
amh(ng/ml) (0-22),waist(inch) (33-39),258
amh(ng/ml) (0-22),weight_(kg) (58-82),186
amh(ng/ml) (0-22),pulse_rate(bpm)_72,189
amh(ng/ml) (0-22),rr_(breaths/min)_18,187
avg._f_size_(r)_(mm) (17-24),fsh(miu/ml) (0-1684),151
avg._f_size_(r)_(mm) (17-24),fsh/lh (0-458),151
avg._f_size_(r)_(mm) (17-24),ii____beta-hcg(miu/ml) (1-8334),151
avg._f_size_(r)_(mm) (17-24),lh(miu/ml) (0-673),152
avg._f_size_(r)_(mm) (17-24),prg(ng/ml) (0-28),152
avg._f_size_(r)_(mm) (17-24),rbs(mg/dl) (60-157),151
avg._f_size_(r)_(mm) (17-24),tsh_(miu/l) (0-22),152
avg._f_size_(r)_(mm) (17-24),vit_d3_(ng/ml) (0-2005),152
bp__diastolic_(mmhg)_80,cycle(r/i) (2-4),211
bp__diastolic_(mmhg)_80,endometrium_(mm) (7-12),200
bp__diastolic_(mmhg)_80,follicle_no._(l) (0-7),218
bp__diastolic_(mmhg)_80,fsh(miu/ml) (0-1684),250
bp__diastolic_(mmhg)_80,fsh/lh (0-458),250
bp__diastolic_(mmhg)_80,height(cm) (152-166),196
bp__diastolic_(mmhg)_80,i___beta-hcg(miu/ml) (1-10821),247
bp__diastolic_(mmhg)_80,ii____beta-hcg(miu/ml) (1-8334),250
bp__diastolic_(mmhg)_80,lh(miu/ml) (0-673),251
